AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
257314,False,Stanislaus National Forest/Yosemite National Park,,2013,True,/incidents/2013/8/17/rim-fire/,,,Tuolumne,55,,,,2013-09-06T18:30:00Z,,False,True,,,,37.857,3 miles east of Groveland along Hwy 120,-120.086,False,Rim Fire,100,,True,The Rim Fire was east of Groveland along Highway 20.,"Rim Fire, Stanislaus National Forest, Yosemite, Yosemite National Park, Rim Fire, Tuolumne County, Tuolumne, Groveland, Hwy 120, Highway 120",2013-08-17T15:25:00Z,Finalized,,,,,5fb18d4d-213f-4d83-a179-daaf11939e78,2013-09-06T18:30:00Z,
30274,False,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,2013,True,/incidents/2013/5/30/powerhouse-fire/,,,Los Angeles,19,,,,2013-06-08T18:30:00Z,,False,True,,,,34.585595,Angeles National Forest,-118.423176,False,Powerhouse Fire,100,,True,The Powerhouse Fire burned in May and June 2013 on the Angeles National Forest in Los Angeles County. ,"Powerhouse Fire, May 2013, June 2013, Angeles National Forest, Los Angeles County
267",2013-05-30T15:28:00Z,Finalized,,,,,bf37805e-1cc2-4208-9972-753e47874c87,2013-06-08T18:30:00Z,
27531,False,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,True,/incidents/2013/7/15/mountain-fire/,,,Riverside,33,,,,2013-07-30T18:00:00Z,,False,True,,,,33.7095,Hwy 243 & Hwy 74 near Mountain Center,-116.72885,False,Mountain Fire,100,,True,The Mountain Fire burned in July 2013 off Highway 243 and Highway 74 near Mountain Center in Riverside County on the San Bernardino National Forest. ,"Mountain Fire, July 2013, Highway 243, Highway 74, Mountain Center, Riverside County, San Bernardino National Forest",2013-07-15T13:43:00Z,Finalized,,,,,a3149fec-4d48-427c-8b2c-59e8b79d59db,2013-07-30T18:00:00Z,
27440,False,Tahoe National Forest,,2013,False,/incidents/2013/8/10/american-fire/,,,Placer,31,,,,2013-08-30T08:00:00Z,,False,True,,,,39.12,"Deadwood Ridge, northeast of Foresthill",-120.65,False,American Fire,100,,True,"The American Fire burned in August 2013 off Deadwood Ridge, northeast of Foresthill on the Tahoe National Forest in Placer County. ","American Fire, August 2013, Deadwood Ridge, Foresthill, Tahoe National Forest, Placer County",2013-08-10T16:30:00Z,Finalized,,,,,8213f5c7-34fa-403b-a4bc-da2ace6e6625,2013-08-30T08:00:00Z,
24251,False,Ventura County Fire/CAL FIRE,,2013,True,/incidents/2013/5/2/springs-fire/,"Acreage has been reduced based upon more accurate mapping. 
<p>Continue to mop up in areas very visible to public. Continue demobilization, fire damage inspections, and suppression repair.  <p>
                                     
 



",,Ventura,56,47,8,117,2013-05-11T06:30:00Z,,False,True,,11,10,0.0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",0.0,True,Springs Fire,100,2167,True,"The Springs Fire burned in May 2013, Southbound Highway 101 at Camarillo Springs Road, Camarillo, in Ventura County. ","Springs Fire, May 2013, Highway 101, Camarillo Springs, Ventura County",2013-05-02T07:01:00Z,Finalized,6,10,,,46731fb8-3350-4920-bdf7-910ac0eb715c,2013-05-11T06:30:00Z,11
22992,False,Sierra National Forest,,2013,False,/incidents/2013/7/22/aspen-fire/,,,Fresno,10,,,,2013-09-24T20:15:00Z,,False,True,,,,37.279,Seven miles north of Big Creek,-119.318,False,Aspen Fire,100,,True,The Aspen Fire burned in July 2013 seven miles north of Big Creek on the Sierra National Forest in Fresno County.,"217  Aspen Fire, July 2013, Big Creek, Fresno County, Sierra National Forest",2013-07-22T22:15:00Z,Finalized,,,,,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,2013-09-24T20:15:00Z,
20292,False,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,True,/incidents/2013/8/7/silver-fire/,"Firefighters closed the containment lines today. Large scale demobilization of incident resources continues.
Command of the incident will be turned over to Riverside County effective Tuesday August 8th. Silent Valley RV Club remains
closed. For questions regarding the closure, please the Silent Valley RV Club.",Hwy 243 remains closed between Twin Pines Road and Westley Street in Banning due to road damage.,Riverside,33,63,20,201,2013-08-12T18:00:00Z,,False,True,,20,26,33.86157,"Poppet Flats Rd near Hwy 243, south of Banning",-116.90427,True,Silver Fire,100,2106,True,"The Silver Fire burned in August 2013 off Poppet Flats Rd near Hwy 243, south of Banning in Riverside County. ","Silver Fire, August 2013, Popet Flats Road, Highway 243, Banning, Riverside County",2013-08-07T14:05:00Z,Finalized,8,40,,,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,2013-08-12T18:00:00Z,20
14754,False,Klamath National Forest,,2013,False,/incidents/2013/7/31/salmon-river-complex/,,,Siskiyou,47,,,,2013-08-31T06:45:00Z,,False,True,,,,41.32,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",-123.176,False,Salmon River Complex,100,,True,"The Salmon River Complex burned in July and August 2013 near North Fork of the Salmon River, West of Sawyers Bar, on Klamath National Forest in Siskiyou County. ","210 Salmon River Complex, August 2013, July 2013, North Fork of the Salmon River, Sawyers Bar, Klamath National Forest, Siskiyou County",2013-07-31T22:00:00Z,Finalized,,,,,ba76c009-09c9-497c-b923-1ac8cf05c20d,2013-08-31T06:45:00Z,
12503,False,Six Rivers National Forest,,2013,False,/incidents/2013/8/10/corral-complex/,,,Humboldt,12,,,,2013-08-12T12:00:00Z,,False,True,,,,41.035,Tish Tang Ridge east of Hoopa Valley Reservation,-123.488,False,Corral Complex,100,,True,The Corral Complex burned in August 2013 off Tish Tang Ridge east of Hoopa Valley Reservation on the Six Rivers National Forest in Humboldt County. ,"Corral Complex, August 2013, Tish Tang Ridge, Hoopa Valley Reservation, Six River National Forest, Humboldt County",2013-08-10T11:40:00Z,Finalized,,,,,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,2013-08-12T12:00:00Z,
11429,False,CAL FIRE Tehama-Glenn Unit,,2013,True,/incidents/2013/8/23/deer-fire/,"Fire suppression repair will continue throughout the weekend. Fireline personnel will continue mopping up the interior of the fire area until fully controlled. All hiking trails within the Ishi Wilderness are temporarily closed, but are scheduled to be reopened to the public this Saturday, August 31, 2013.",,Tehama,52,30,3,36,2013-08-29T16:45:00Z,,False,True,,5,5,40.04263,"Near Deer Creek, 12 miles east of Los Molinos. ",-121.85397,True,Deer Fire,100,898,True,"The Deer Fire burned in August near Deer Creek, 12 miles east of Los Molinos in Tehama County. ","Deer Fire, August 2013, Tehama County, Deer Creek, Los Molinos",2013-08-23T14:15:00Z,Finalized,,,,,956dbcf6-db40-4b61-b235-4ede14738f1e,2013-08-29T16:45:00Z,8
